food_name,protein_g,fat_g,carbohydrates_g,calories_kcal,water_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,vitamin_a_ug,vitamin_d_ug,vitamin_c_mg,vitamin_b12_ug,cholesterol_mg,sugar_g
150ct Triple Chocolate Cookie,4.208333333,12.625,58.93333333,400,,2.083333333,20.83333333,2.108333333,,206.3333333,168.3333333,,0,,,10.83333333,29.46666667
153 CONCHIGLIE RIGATE GLUTEN FREE PASTA,8.93,1.79,75,339,,1.8,4,0.39,,104,0,,2,,,0,0
"1542: Muffins, Mini Wild Blueberry, Tray Pack.  Contains egg, milk, soy, and wheat ingredients. This product is produced in a nut-free facility.",3.57,12.5,42.86,286,,0,32,0,,125,250,,,,,36,25
"1545: Muffins, Chocolate Chip, Individually Wrapped. Kosher KVH-D.  Produced in a nut-free facility.",4.42,11.5,52.21,327,,1.8,47,1.77,,106,274,,,,,18,29.2
"1546: Muffins, Banana, Tray Pack. Kosher KVH-D. Produced in a nut-free facility.",3.57,12.5,50,321,,0,32,0,,107,268,,,,,36,28.57
"1556: Waffles, Whole Grain, Maple. USDA Smart Snack approved.",5,7.5,40,225,,2.5,32,2.5,,138,375,,,,,12,7.5
"1558: Waffles, Whole Grain, Maple Blueberry. USDA Smart Snack approved. Produced in a nut-free facility.",5,7.5,37.5,250,,2.5,75,1.75,,125,288,,,,,12,10
"156 count, 3.0 oz, Guttenplan's Frozen Dough",8.45,1.41,56.34,282,,1.4,18,4.23,,,563,,,15.5,,0,2.82
"1563: Waffles, Whole Grain, Maple, 2 Pack. Produced in a nut-free facility.",5.06,7.59,35.44,241,,2.5,76,1.77,,127,278,,,,,13,8.86
"1565: Waffles, Whole Grain, Wholesome Choice, Cinnamon, 2 Pack. Produced in a nut-free facility.",5.41,8.11,33.78,230,,2.7,108,2.16,,135,324,,,,,14,5.41
"1567: Pancakes, Whole Grain, Buttermilk, Blueberry, 2 Pack. 2 grain equivalent.",5.41,4.73,43.24,243,,2.7,68,1.76,,108,297,,,,,14,16.22
"1581: Pancakes, Whole Grain, Maple Chip Mini, 3"""", Bulk. USDA Smart Snack approved.",5,5,42.5,250,,2.5,75,1.75,,100,300,,,,,12,17.5
"1584: Waffles, Whole Grain, Wholesome Choice, Maple Chip Mini, 3"""", Bulk",5,8.75,37.5,250,,2.5,50,1.75,,125,425,,,,,12,12.5
"1589: Waffles, Whole Grain, Wholesome Choice, Maple Chip Mini, 3"""", 4 Pack.  Produced in a nut-free facility.",5.06,10.13,39.24,266,,2.5,51,1.77,,114,443,,,,,6,11.39
"1591: Waffles, Whole Grain, Blueberry, 2 Pack. Produced in a nut-free facility.",4.05,6.76,32.43,216,,2.7,68,1.76,,108,257,,,,,7,8.11
"1595: Waffles, Maple Chip Mini, 3""""",5,8.75,40,250,,0,125,2,,100,262,,,,,12,12.5
"1596: Waffles, Bulk. 280/0.70 oz.  Produced in a nut-free facility.",5,8.75,37.5,250,,0,125,2,,125,288,,,,,12,7.5
"15G PROTEIN BAR, DARK CHOCOLATE CHIP PEANUT BUTTER WITH SEA SALT, DARK CHOCOLATE CHIP PEANUT BUTTER WITH SEA SALT",23.08,30.77,36.92,508,,6.2,169,1.69,123,615,162,,,,,15,27.69
15oz Raisins,1,0,32,120,,2,20,0.7,,300,10,,0,,,0,26
15oz Raisins Bag In Box,1,0,32,120,,2,20,0.7,,300,10,,0,,,0,26
16 BEAN SOUP MIX,20.974,1.585,62.51,306.2,,22.22,81.6,5.503,,992.7777778,97.2,,,2.166666667,,0,3.667
16 BEAN SOUP MIX FRIJOLES MIXTOS,18.42,0,57.89,211,,36.8,105,7.11,,,39,,,0,,0,2.63
"16 BEAN SOUP MIX WITH HAM FLAVOR SEASONING PACKET, HAM FLAVOR SEASONING",20,1.43,62.86,257,,28.6,0,6,,1257,200,,,,,0,0
"16 BEAN SOUP MIX WITH HAM FLAVOR, HAM",20,1.43,62.86,257,,22.9,0,5.14,,1029,286,,,,,0,2.86
"16 BEAN SOUP MIX WITH HAM FLAVORING, 16 BEAN WITH HAM",20,2.86,62.86,257,,25.7,0,5.14,,1429,200,,,,,0,2.86
"16 BEAN SOUP MIX WITH HAM FLAVORING, HAM",20,2.86,62.86,257,,25.7,0,5.14,,1429,200,,,,,0,2.86
16 BEAN SOUP MIX WITH HAM SEASONING,22.464,0.768,62.374,345.4,,19.36,114.8,6.564,,,227.6,,,1.84,,0,3.652
16 BEAN SOUP MIX WITH HAM SEASONING PACKET,20,2.86,62.86,257,,25.7,0,5.14,,1429,200,,,,,0,2.86
"16 BEAN SOUP MIX, 16 BEAN",22.41333333,0.758333333,61.64,323.6666667,,20.83333333,90.33333333,6.028333333,,1150.166667,104.6666667,,0,,,0,3.038333333
"16 BEAN SOUP MIX, CAJUN",22.86,0,60,200,,34.3,114,2.06,,,514,,,0,,0,2.86
"16 BEAN SOUP MIX, HAM",18.42,1.32,63.16,263,,23.7,53,5.79,,921,132,,,,,0,2.63
16 BEAN SOUP STARTER,20.21,1.144,62.394,247.8,,25.16,44.2,4.912,,1029,65.4,,,0,,0,2.814
"16 BEAN SOUP STARTER, 16 BEAN",20,5.24,62.86,314.3333333,,22.9,29,5.43,,1029,381.3333333,,0,,,9.666666667,3.81
16 COUNTRY SAUSAGE & BISCUITS,11.9,16.67,35.71,333,,1.2,95,1.29,,,298,,,0,,36,2.38
16 Cheese Pizza on Whole Wheat and Soy Crust,23.75,12.375,28.375,318.125,,4.5,364.625,3.0875,,506.5,529,,0,,,31.75,7
16 FL OZ JUICE DRINK - FRUIT PUNCH,0,0,10.36,42,,0,0,0,,0,10,,,12.7,,0,9.73
16 HOT DOG BUNS,9.3,3.49,53.49,279,,4.7,116,2.33,,84,535,,,,,0,6.98
16 HOUR COLD BREW SENCHA GREEN TEA,0,0,0,0,,,,,,,0,,,,,,0
"16 HOUR COLD BREW SENCHA GREEN TEA, LEMON & BASIL",0,0,0,0,,,,,,,0,,,,,,0
"16 JEJU, NATURAL SPRING WATER",0,0,0,0,,,,,,,,,,,,,
16 OZ CH T-BONE STK,19.64,6.25,0,143,,0,19,1.43,,232,31,,,0,,54,0
16 POTATO HOT DOG ROLLS,7.55,2.83,54.72,283,,1.9,85,2.83,,94,472,,,,,0,7.55
16 Pepperoni Pizza on Whole Wheat and Soy Crust,19.81818182,12.90909091,23.45454545,288.6363636,,3.272727273,176,2.636363636,,757.5454545,529.9090909,0,0,0,,24.90909091,3.727272727
16 QUARTER POUND BEEF PATTIES,14.91,24.56,5.26,298,,2.6,53,3.16,,,632,,,0,,53,2.63
16 ROLLS SLICED ENRICHED,7.69,2.56,51.28,282,,2.6,90,2.82,,77,462,,,,,0,5.13
panna cotta,3.5,12.5,16.5,185,63.5,0,118,0.1,10,145,105,35,0.2,0,0.2,55,15.5
peking duck,23.5,26.5,0,338,45.5,0,12,1.5,22,285,485,38,0.3,0,0.5,110,0
pork chop,25.5,14.5,0,231,56.5,0,15,1,22,385,485,18,0.5,0,0.5,82,0
prime rib,27.5,26,0,340,44.5,0,18,2.5,22,285,485,18,0.5,0,1.5,108,0
pulled pork sandwich,22.5,13.5,25.5,310,34.5,1.5,55,2.2,28,385,785,18,0.1,4,0.3,75,8.5
qubani ka meetha,2.5,4.5,43.5,210,45.5,3.5,28,1.5,18,385,185,280,0,12,0,0,32.5
ras malai,7.5,7.5,22.5,180,59.5,0.2,185,0.3,15,245,105,38,0.2,0.5,0.8,22,18.5
red velvet cake,4.5,16.5,54.5,375,21.5,1.2,52,1.5,12,165,285,28,0,0.5,0.1,62,38.5
seaweed salad,1.5,2.5,11.5,70,80.5,0.5,68,1.5,55,285,385,48,0,2,0,0,2.5
sheer korma,7.5,12.5,35.5,280,40.5,1.5,185,0.8,22,285,155,38,0.2,0.5,0.5,28,22.5
shrimp and grits,22.5,12.5,22.5,295,38.5,1,85,2.5,38,385,785,85,1.5,5,1.5,175,3.5
16 Whole Wheat Pizzeria Style Meateaters Pizza,20.8,17.8,28.1,359.6,,3,298.2,2.39,,159.7,642.7,0,0,0,,44.7,4.4
16 Whole Wheat Pizzeria Style Turkey Meateaters Pizza,20.66666667,14.08333333,28,319.5,,3,304.1666667,2.391666667,,177.75,578.75,0,0,0,,42.75,4.166666667
16 Whole Wheat Self-Rising Cheese Pizza,19,16.2,52,425.2,,5.6,290.4,4.6,,351,895.2,0,0,0,,27.2,6.2
16 Whole Wheat Self-Rising Cheese Pizza Case,19,15.5,53.5,424,,5.5,356,4.8,,413.5,796,0,0,0,,29,7.5
16 Whole Wheat Self-Rising Four Cheese Meateaters Pizza,22.1875,19.0625,31.5625,394.75,,3.5,407.125,2.38125,,169.3125,736.75,0,0,0,,47.0625,4.5
16 Whole Wheat Self-Rising Four Cheese Meateaters Pizza Case,20,22,34,410,,4,365,3.1,,342,890,0,0,0,,45,4
"16 Whole Wheat Self-Rising Four Cheese Meateaters Pizza Topped with Tomato Sauce, Mozzarella, Provolone, Parmesan, Romano, Sausage, Pepperoni, Canadian Style Bacon and Bacon",18.54914477,19.29011056,36.35482375,386.523177,,3.704828954,224.9026346,2.968863163,,131.410945,773.9173199,,0,,,41548.08429,3.709828954
"16 Whole Wheat Self-Rising Four Cheese Meateaters Pizza, Pre-Cut",17.43413278,13.47243594,24.5671871,290.8745484,,2.38435144,363.9057703,1.584012071,,93.54004553,523.2239835,0,0,0,,37.09928367,3.961696844
"16 Whole Wheat Self-Rising Four Cheese Pizza Topped with Robust Tomato Sauce, Mozzarella, White Cheddar, Romano, and Parmesan Cheese",17.39546206,16.6397898,37.06044091,360.8881697,,3.790861318,263.1039477,3.025189054,,117.9948731,635.4147014,,0,,,33.38957959,3.780861318
"16 Whole Wheat Self-Rising Four Cheese Turkey Pepperoni Pizza Topped with Tomato Sauce, Mozzarella, Provolone, Parmesan, and Romano Cheese, and Turkey Pepperoni",18.09022154,16.58395308,36.93482731,365.538852,,3.759421154,244.987375,3.015036923,,123.5590139,694.1103766,,0,,,36.96732731,3.769421154
16 Whole Wheat Self-Rising Pepperoni Pizza,17.42875,16.805,26.54875,331.875,,2.4,305,1.81875,,112.125,590.875,0,0,0,,39,3.6875
16 Whole Wheat Self-Rising Pepperoni Pizza Case,11.71278277,13.01716604,22.12784893,249.3687796,,2.385170723,216.0409562,1.973267821,,216.6917437,524.9068506,0,0,0,,32.69291509,3.035958176
"16"" Cheese Pizza on Whole Wheat and Soy Crust",23,10,27,303,,4,300,2,,1147,405,,0,,,19,3
"16"" Pizzeria Style Pizza Topped  with Mozzarella Cheese, Tomato Sauce, and Pepperoni",18,19,31,372,,2,248,2,,67,630,,0,,,45,3
"16"" Pizzeria Style Pizza Topped with Tomato Sauce, Mozzarella Cheese, and Pepperoni",13,13,21,258,,1,173,1,,46,437,,0,,,31,2
"16"" Whole Wheat Four Cheese Turkey Pepperoni Pizza Topped with Tomato Sauce, Mozzarella Cheese, and Pepperoni.",19.5,15,29.5,330,,3,408.5,2.1,,253.5,628.5,,0,,,41,4
"16"" Whole Wheat Pizza Topped with Robust Sauce, Mozzarella, Provolone, Parmesan/Romano, and Turkey Pepperoni",19,14,29,320,,3,419,2,,241,597,,0,,,37,3
"16"" Whole Wheat Pizzeria Style Pizza Topped with Robust Sauce, Mozzarella Cheese, Sausage, Pepperoni, Canadian Style Bacon, and Bacon",21,17,29,354,,3,335,2,,246,627,,0,,,41,3
"16"""" Cheese Pizza on Whole Wheat and Soy Crust",16,9,19,221,,2,160,2,,48,292,,,,,19,4
"16"""" Pizzeria Style Pizza Topped  with Mozzarella Cheese, Tomato Sauce, and Pepperoni",18,19,31,372,,2,248,2,,67,630,,,,,45,3
"16"""" Pizzeria Style Pizza Topped with Tomato Sauce, Mozzarella Cheese, and Pepperoni",13,13,21,258,,1,173,1,,46,437,,,,,31,2
"16"""" WW Supreme Pizza",20,20,28,380,,4,213,3,,29,736,,,0,,49,6
"16"""" Whole Wheat Pizza Topped with Robust Sauce, Mozzarella, Provolone, Parmesan/Romano, and Turkey Pepperoni",21,15,28,331,,3,298,3,,22,622,,,,,44,6
"16"""" Whole Wheat Pizzeria Style Pizza Topped with Robust Sauce, Mozzarella Cheese, Sausage, Pepperoni, Canadian Style Bacon, and Bacon",21,19,27,369,,3,243,3,,20,663,,,,,48,6
16'' FRESH 'N READY WGR OVEN RISING SHEETED PIZZA DOUGH W/ SAUCE RING,9.31075,4.097,40.21675,231.7965,,4.30075,19.668,2.176,,278.6125,418.0405,,0.00075,,,0.10325,3.40725
16'' FRESH 'N READY WHOLE GRAIN RICH OVEN RISING SHEETED PIZZA DOUGH WITH SAUCE,9.33,4.18,40.25,232,,4.2,22,2.23,,278,421,,0,,,0,3.52
16-1 LINK - BROWN SUGAR BREAKFAST SAUSAGE,14.29,17.86,9.52,262,,0,0,0.86,,,774,,,0,,60,5.95
"16-BEAN SOUP STARTER, 16-BEAN",20,1.43,62.86,257,,25.18,29,5.658,,1120.2,23,,0,,,0,2.86
16.00OZ LAY'S REGULAR,7.14,35.71,53.57,571,,3.6,0,1.29,57,1250,607,,,21.4,,0,3.57
16.00OZ SANTITAS REGULAR,7.14,21.43,67.86,500,,7.1,71,1.29,,,411,,,0,,0,0
16.00OZ TOSTITOS SCOOPS,7.14,10.71,78.57,429,,7.1,71,1.29,86,,500,,,0,,0,0
16.9OZ BOTTLE BLACK CHERRY SELTZER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.9OZ BOTTLE LEMON SELTZER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.9OZ BOTTLE LIME SELTZER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.9OZ BOTTLE NATURAL SPRING WATER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.9OZ BOTTLE ORIGINAL SELTZER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.9OZ BOTTLE RASPBERRY LIME SELTZER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.9OZ BOTTLE RUBY RED GRAPEFRUIT SELTZER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.9OZ BTL CRANBERRY LIME SELTZER,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16/20 BTFLY BRD SHRIMP,9.73,7.08,19.47,177,,0,38,0.64,,61,566,,,1.8,,53,0
16/20 COC BRD TORPEDO SHR,10.71,15.18,16.96,241,,2.7,49,1.52,,92,446,,,1.8,,58,1.79
16/20 COCONUT BRD SHRIMP,10.62,15.04,16.81,239,,2.7,46,1.59,,0,442,,,1.6,,58,1.77
16/20 COOKED PEELED AND DEVEINED WILD BROWN SHRIMP,24.71,1.76,0,118,,0,71,2.12,,,541,,,2.8,,200000,0
16/20 CPTO SHRIMP,14.29,0.6,0,60,,0,55,0.32,,54,714,,,2.4,,107,0
16/20 E/Z PEEL SHRIMP,13.78333333,0.983333333,0.293333333,69,,0,23,0.196666667,,75.66666667,576.3333333,,,0,,118.3333333,0
16/20 EZ PEEL SHRIMP,11.61,0.89,0,54,,0,27,0,,80,598,,,0,,103,0
16/20 HEADLESS S/O SHRIMP,17.86,1.79,0,98,,0,54,2.68,,0,143,,,3.6,,89,0
16/20 IQF P&D SHRIMP,11.61,0.89,0,54,,0,27,0,,80,598,,,0,,103,0
16/20 IQF S/ON SHRIMP,18.305,1.34,0.445,89,,0,46.5,2.145,,126,156.5,,,0,,145,0
16/20 KING CRAB LEGS RED,19.05,1.79,0,95,,0,60,0.76,,262,1071,,,7.1,,54,0
16/20 OZ CAN LOBSTER TAIL,16.96,0.89,0,80,,0,84,0.27,,200,429,,,0,,125,0
16/20 OZ GROUPER FILLETS,19.47,0.88,0,88,,0,35,0.96,,0,62,,,1.1,,49,0
16/20 OZ H&G FLOUNDER,12.5,1.79,0,71,,0,21,0.19,,161,295,,,0,,45,0
16/20 OZ LOBSTER TAILS,19.824,1.25,2.144,108.8,,0,55.4,0.542,,183.8,229,,,0.8,,81.8,0
16/20 OZ SNAPPER FILLET,20.35,1.33,0,97,,0,46,0.32,,416,62,,,1.6,,35,0
16/20 OZ SNAPPER FILLETS,20.54,1.34,0,98,,0,46,0.32,,0,62,,,1.6,,36,0
16/20 P&D T/ON SHRIMP,11.61,0.89,0,54,,0,27,0,,80,598,,,0,,103,0
16/20 RAW ARGENTINE RED SHRIMP,18.18,0.91,0,82,,0,73,1.64,,,145,,,0,,159,0
16/20 RND BRD SHRIMP,14.16,1.33,32.74,204,,0.9,46,3.19,,0,637,,,1.6,,75,0
16/20 S/ON TIGER SHRIMP,13.27,0.44,0,62,,0,75,0,,80,743,,,0,,119,0
16/20 SNAP&EAT KING CRAB,19.05,1.19,0,95,,0,60,0.76,,262,1083,,,10.7,,54,0
16/20 SPLIT KING CRAB LEG,19.05,1.79,0,95,,0,60,0.76,,262,1071,,,7.6,,54,0
16/20 WHITE SHRIMP S/ON,13.39,0.89,0.89,71,,0,54,0.21,,112,571,,,0,,129,0
16/20OZ BRAZ LOBSTER TAIL,20.54,1.34,2.68,116,,0,49,1.22,,180,179,,,2,,71,0
16/22 WHL BOILED CRAWFISH,10.49,0.81,0,52.5,,0,32.5,0.74,,176,58.5,,,0.65,,79,0
16/23 WHL BOILED CRAWFISH,9.395,0.905,0,48.5,,0,50.5,0.89,,267,100.5,,,0,,75,0
16/25 CT BABY OCTOPUS,11.61,0.89,1.79,62,,0,80,0.67,,472,188,,,0,,36,0
16/25 DOM S/O SHRIMP,13.27,0.88,0.88,71,,0,54,0.21,,113,354,,,0,,126,0
16/25 RAW PEELED AND DEVEINED TAIL ON WILD ARGENTINE RED SHRIMP,10.71,0,0,54,,0,27,0,,89,509,,,,,107,0
16/32 OZ COD FILLETS,21.18,1.18,0,100,,0,15,0.42,,0,65,,,0.7,,53,0
16/32 OZ S/P COD FILLETS,16.895,0.885,0,77.5,,0,14,0.35,,205.5,51.5,,,0.75,,42.5,0
16/32 OZ S/P POLLOCK FILL,19.64,0.89,0,89,,0,46,0.32,,357,89,,,0,,71,0
"1605: Texas Toast, Whole Grain, Garlic, Reduced Fat, Reduced Sodium, Bulk, 120/1.31oz. Spread on both sides. Average Toast Slice 28-32g. Target length, width, height (5""""x1.25""""x3.5"""")",8.11,9.46,37.84,270,,2.7,27,2.97,,351,338,,,,,0,2.7
"1611 Texas Toast, Whole Grain, Margarine, Reduced Fat, Reduced Sodium, Bulk. Produced in a nut-free facility.",8.82,8.82,41.18,265,,2.9,29,3.24,,353,324,,,,,0,2.94
"1616: Texas Toast, Whole Grain, Garlic, Reduced Fat, Individually Wrapped. USDA Smart Snack approved. Produced in a nut-free facility.",8.11,9.46,37.84,270,,2.7,27,3.14,,351,324,,,,,0,2.7
"1617: Bread Sticks, Whole Grain, Mozzarella Stuffed, Garlic, 7"""". Produced in a nut-free facility.",11.76,11.76,34.12,282,,3.5,200,2.47,,118,518,,,,,18,2.35
"1621: Bread Sticks, Whole Grain, Mozzarella Stuffed, Garlic, 5"""". Produced in a nut-free facility.",12.28,14.04,31.58,298,,3.5,263,2.28,,105,614,,,,,26,3.51
"1627: Texas Toast, WG, Garlic, Reduced Fat, Reduced Sodium, Bulk. USDA Smart Snack approved.",8.82,7.35,41.18,265,,2.9,29,3.24,,353,294,,,,,0,2.94
"1637: Bread Sticks, Whole Grain, Reduced Sodium, Garlic, Heat & Serve, 7"""". USDA Smart Snack approved.",7.14,8.93,46.43,304,,5.4,18,2.5,,393,304,,,,,0,1.79
"1638: Bread Sticks, Whole Grain, Reduced Sodium, Garlic, 5""""  240/1.19oz",2.94,10.29,44.12,294,,2.9,0,2.65,,294,279,,,,,0,2.94
"1645: Dinner Rolls, Whole Grain, Reduced Sodium, Smooth Top, USDA Smart Snack approved.  Produced in a nut-free facility.",3.57,3.57,53.57,250,,3.6,0,2.5,,250,179,,,,,0,7.14
"1647: Texas Toast, Whole Grain, Garlic, Reduced Fat, Reduced Sodium, Bulk. USDA Smart Snack approved. Produced in a nut-free facility.",9.8,8.82,41.18,275,,3.9,39,3.14,,353,314,,,,,0,1.96
"1651: Croissants, Whole Grain, Margarine, FC, Sliced.",10.29,13.24,45.59,316,,4.4,147,2.21,,59,324,,,,,0,5.88
"1656: Croissants, Margarine, Fully Cut, Sliced. Kosher Tablet-K. Contains egg, milk, and wheat ingredients. This product is processed in a facility that produces products with coconut and soy.",10.59,12.94,47.06,318,,4.7,153,2.35,,59,318,,,,,0,5.88
"1659: Croissants, LS, Margarine, Round, Sliced. Kosher OU-D . Contains milk, soy and wheat ingredients.",7.06,15.29,41.18,329,,1.2,35,2.59,,82,106,,,,,0,5.88
"1661: Croissants, Whole Grain, Margarine, FC, Sliced, Kosher OU-D.",7.35,10.29,45.59,309,,4.4,44,2.21,,162,309,,,,,0,7.35
"16G PLANT PROTEIN NUTRITION SHAKE, VANILLA, VANILLA",4.85,5.76,8.79,97,,0.6,39,0.91,18,191,73,,,2.7,11.82,0,0.3
16OZ BRY SUNFLWR FRMH BRKFST BRD,13.16,5.26,50,289,,2.6,79,2.37,,132,368,,,,,0,15.79
16OZ CAB PORTERHOUSE STK,22.32,7.14,0,161,,0,18,1.96,,277,54,,,0,,58,0
16OZ CAB PRIME CC STRIP,23.21,6.25,0,152,,0,29,1.61,,348,58,,,0,,67,0
